anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2018;CN;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);4505;16075;2673;8854;7178;24929
2018;TO;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;1001;2692;938;2898;1939;5590
2008;AT;SETTORE ALBERGHIERO;Albergo;36242;72618;25093;52554;61335;125172
2010;BI;SETTORE EXTRALBERGHIERO;CAV - Residence;978;17487;717;8172;1695;25659
2016;NO;SETTORE EXTRALBERGHIERO;CAV - Residence;2334;10283;4463;21220;6797;31503
2019;AL;SETTORE EXTRALBERGHIERO;Ostello;3577;10396;1938;4527;5515;14923
2010;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);128162;334368;7105;42288;135267;376656
2014;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;6181;10103;4296;10835;10477;20938
2016;CN;SETTORE EXTRALBERGHIERO;Agriturismo;32378;60862;36132;98381;68510;159243
2018;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1198;1944;442;790;1640;2734
2018;BI;SETTORE EXTRALBERGHIERO;Casa per ferie;10385;22790;2537;5196;12922;27986
2006;TO;SETTORE EXTRALBERGHIERO;Campeggio;65270;392337;2111;16443;67381;408780
2007;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;315;19964;238;10551;553;30515
2011;AL;SETTORE ALBERGHIERO;Albergo;171884;350870;84989;166225;256873;517095
2014;CN;SETTORE EXTRALBERGHIERO;Bed & Breakfast;6959;13488;4504;12911;11463;26399
2019;TO;SETTORE EXTRALBERGHIERO;Rifugio escursionistico;1972;2558;453;721;2425;3279
2020;VC;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1128;2186;238;901;1366;3087
2021;VB;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);3728;17420;6688;31113;10416;48533
2006;AT;SETTORE EXTRALBERGHIERO;Agriturismo;8853;25009;7905;27438;16758;52447
2007;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;1747;3778;1450;3599;3197;7377
2009;TO;SETTORE ALBERGHIERO;Albergo;1270756;2794269;215627;554839;1486383;3349108
2015;CN;SETTORE EXTRALBERGHIERO;CAV - Residence;10969;65968;8271;45595;19240;111563
2020;TO;SETTORE EXTRALBERGHIERO;Campeggio;29029;129359;4695;13081;33724;142440
2021;VC;SETTORE EXTRALBERGHIERO;CAV - Residence;7972;42235;873;5806;8845;48041
2008;VB;SETTORE EXTRALBERGHIERO;Rifugio alpino;182;182;72;77;254;259
2015;TO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);62405;323114;51156;237781;113561;560895
2019;AT;SETTORE EXTRALBERGHIERO;Bed & Breakfast;6050;10591;4726;13770;10776;24361
2021;CN;SETTORE EXTRALBERGHIERO;Agriturismo;41281;80760;24759;74151;66040;154911
2007;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;661;1532;251;627;912;2159
2007;CN;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);1893;14770;519;3821;2412;18591
2013;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2278;4099;1928;4554;4206;8653
2019;VB;SETTORE EXTRALBERGHIERO;Bivacco fisso;0;0;null;null;0;0
2005;CN;SETTORE EXTRALBERGHIERO;Agriturismo;8501;18205;9500;25508;18001;43713
2007;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1082;4066;491;1714;1573;5780
2011;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2856;4277;71;220;2927;4497
2013;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;6746;21330;2269;3158;9015;24488
2013;NO;SETTORE EXTRALBERGHIERO;Affittacamere;2742;8226;3089;7978;5831;16204
2019;VB;SETTORE ALBERGHIERO;Albergo;166145;350429;382439;1123144;548584;1473573
2019;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;2706;3214;3833;4367;6539;7581
2006;CN;SETTORE EXTRALBERGHIERO;Agriturismo;13113;33713;13264;40726;26377;74439
2008;BI;SETTORE EXTRALBERGHIERO;Affittacamere;1177;4416;306;830;1483;5246
2012;VC;SETTORE EXTRALBERGHIERO;Agriturismo;2942;6692;46;847;2988;7539
2014;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;7050;23343;1892;3200;8942;26543
2014;NO;SETTORE EXTRALBERGHIERO;Affittacamere;2932;9376;3385;7661;6317;17037
2014;NO;SETTORE EXTRALBERGHIERO;Casa per ferie;1641;11881;512;3138;2153;15019
2020;VB;SETTORE ALBERGHIERO;Albergo;96617;220816;94410;264565;191027;485381
2020;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;1456;1650;2378;2762;3834;4412
2015;VB;SETTORE EXTRALBERGHIERO;Campeggio;21135;86220;103056;596730;124191;682950
2018;BI;SETTORE EXTRALBERGHIERO;Agriturismo;2072;3606;780;2551;2852;6157
2020;TO;SETTORE EXTRALBERGHIERO;Affittacamere;11314;29044;3956;9351;15270;38395
2020;TO;SETTORE EXTRALBERGHIERO;Casa per ferie;15293;456789;4184;100368;19477;557157
2021;CN;SETTORE ALBERGHIERO;Albergo diffuso;2398;4682;1054;3554;3452;8236
2011;AT;SETTORE EXTRALBERGHIERO;Agriturismo;12771;31537;10081;34275;22852;65812
2012;VB;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3673;8445;3736;11224;7409;19669
2014;TO;SETTORE ALBERGHIERO;Albergo;1330905;2887715;347646;919743;1678551;3807458
